name,url
AKRON,http://www.uakron.edu/law
ALABAMA,http://www.law.ua.edu/
ALBANY,http://www.albanylaw.edu/
AMERICAN,http://www.wcl.american.edu/
APPALACHIAN,http://www.asl.edu/
ARIZONA,http://www.law.arizona.edu/
ARIZONA STATE,http://www.law.asu.edu/
ARIZONA SUMMIT,http://www.azsummitlaw.edu
ARKANSAS - FAYETTEVILLE,http://law.uark.edu/
ARKANSAS - LITTLE ROCK,http://www.law.ualr.edu/
ATLANTA'S JOHN MARSHALL LAW SCHOOL,http://www.johnmarshall.edu/
AVE MARIA SCHOOL OF LAW,http://www.avemarialaw.edu/
BALTIMORE,http://law.ubalt.edu/index.cfm
BARRY UNIVERSITY,http://www.barry.edu/law
BAYLOR,http://www.baylor.edu/law/
BELMONT UNIVERSITY,http://www.belmont.edu/law/
BOSTON COLLEGE,http://www.bc.edu/schools/law/
BOSTON UNIVERSITY,http://web.bu.edu/LAW/
BRIGHAM YOUNG,http://www.law.byu.edu/
BROOKLYN,http://www.brooklaw.edu/
CALIFORNIA - BERKELEY,http://www.law.berkeley.edu/
CALIFORNIA - DAVIS,http://www.law.ucdavis.edu/
CALIFORNIA - HASTINGS,http://www.uchastings.edu/
CALIFORNIA - IRVINE,http://www.law.uci.edu/
CALIFORNIA - LOS ANGELES,http://www.law.ucla.edu/
CALIFORNIA WESTERN,http://www.cwsl.edu/
CAMPBELL,http://law.campbell.edu/
CAPITAL,http://www.law.capital.edu/
CARDOZO,http://www.cardozo.yu.edu/
CASE WESTERN RESERVE,http://law.case.edu/
CATHOLIC UNIVERSITY OF AMERICA,www.law.edu
CHAPMAN,http://www.chapman.edu/law/
CHARLESTON,http://www.charlestonlaw.org/
CHARLOTTE,http://www.charlottelaw.edu/
CHICAGO,http://www.law.uchicago.edu/
CHICAGO-KENT,http://www.kentlaw.edu/
CINCINNATI,http://www.law.uc.edu/
CITY UNIVERSITY OF NEW YORK,http://www.law.cuny.edu/
CLEVELAND STATE,http://www.law.csuohio.edu/
COLORADO,http://www.colorado.edu/law
COLUMBIA,http://www.law.columbia.edu/
CONCORDIA,http://law.cu-portland.edu/
CONNECTICUT,http://www.law.uconn.edu/
CORNELL,http://www.lawschool.cornell.edu/
CREIGHTON,http://law.creighton.edu/
DAYTON,http://law.udayton.edu/
DENVER,http://www.law.du.edu/
DEPAUL,http://www.law.depaul.edu/
DETROIT MERCY,http://www.law.udmercy.edu/
DISTRICT OF COLUMBIA,http://www.law.udc.edu/
DRAKE,http://www.law.drake.edu/
DREXEL,http://www.drexel.edu/law/
DUKE,http://www.law.duke.edu/
DUQUESNE,http://www.law.duq.edu/
ELON,http://www.elon.edu/e-web/law
EMORY,http://www.law.emory.edu/
FAULKNER,http://www.faulkner.edu/jsl/
FLORIDA,http://www.law.ufl.edu/
FLORIDA A&M,http://law.famu.edu/
FLORIDA COASTAL,http://www.fcsl.edu/
FLORIDA INTERNATIONAL,http://law.fiu.edu/
FLORIDA STATE,http://www.law.fsu.edu/
FORDHAM,http://law.fordham.edu
GEORGE MASON,http://www.law.gmu.edu/
GEORGETOWN,http://www.law.georgetown.edu/
GEORGE WASHINGTON,http://www.law.gwu.edu/
GEORGIA,http://www.law.uga.edu/
GEORGIA STATE,http://law.gsu.edu/
GOLDEN GATE,http://www.ggu.edu/law
GONZAGA,http://www.law.gonzaga.edu/
HARVARD,http://www.law.harvard.edu/
HAWAII,http://www.law.hawaii.edu/
HOFSTRA,http://www.hofstra.edu/law
HOUSTON,http://www.law.uh.edu/
HOWARD,http://www.law.howard.edu/
IDAHO,http://www.uidaho.edu/law/
ILLINOIS,http://www.law.uiuc.edu/
INDIANA - BLOOMINGTON,http://www.law.indiana.edu/
INDIANA UNIVERSITY - INDIANAPOLIS,http://www.mckinneylaw.iu.edu
INTER-AMERICAN,http://www.derecho.inter.edu/
IOWA,http://www.law.uiowa.edu/
THE JOHN MARSHALL LAW SCHOOL,http://www.jmls.edu/
KANSAS,http://www.law.ku.edu/
KENTUCKY,http://www.uky.edu/Law/
LA VERNE,http://law.laverne.edu/
LIBERTY,http://law.liberty.edu/
LINCOLN MEMORIAL,http://law.lmunet.edu/
LEWIS AND CLARK,http://law.lclark.edu
LOUISIANA STATE,http://www.law.lsu.edu/
LOUISVILLE,http://www.law.louisville.edu/
LOYOLA - CHICAGO,http://www.luc.edu/law/
LOYOLA - LOS ANGELES,http://www.lls.edu/
LOYOLA - NEW ORLEANS,http://www.loyno.edu/law
MAINE,http://mainelaw.maine.edu/
MARQUETTE,http://www.mu.edu/dept/law
MARYLAND,http://www.law.umaryland.edu/
MASSACHUSETTS,http://www.umassd.edu/law/
MCGEORGE,http://www.mcgeorge.edu/
MEMPHIS,http://www.memphis.edu/law/
MERCER,http://www.law.mercer.edu/
MIAMI,http://www.law.miami.edu/
MICHIGAN STATE,http://www.law.msu.edu/
MICHIGAN,http://www.law.umich.edu/
MINNESOTA,http://www.law.umn.edu/
MISSISSIPPI COLLEGE,http://law.mc.edu/
MISSISSIPPI,http://www.law.olemiss.edu/
MISSOURI,http://www.law.missouri.edu/
MISSOURI - KANSAS CITY,http://www.law.umkc.edu/
MITCHELL|HAMLINE,http://mitchellhamline.edu/
MONTANA,http://www.umt.edu/law
NEBRASKA,http://law.unl.edu/
NEVADA,http://law.unlv.edu/
NEW ENGLAND LAW | BOSTON,http://www.nesl.edu/
NEW MEXICO,http://lawschool.unm.edu/
NEW HAMPSHIRE,http://law.unh.edu/
NEW YORK LAW SCHOOL,http://www.nyls.edu/
NEW YORK UNIVERSITY,http://www.law.nyu.edu/
NORTH CAROLINA,http://www.law.unc.edu/
NORTH CAROLINA CENTRAL,http://law.nccu.edu
NORTH DAKOTA,http://www.law.und.nodak.edu/
NORTHEASTERN,http://www.northeastern.edu/law
NORTHERN ILLINOIS,http://law.niu.edu/
NORTHERN KENTUCKY,http://www.nku.edu/~chase
NORTHWESTERN,http://www.law.northwestern.edu/
NOTRE DAME,http://www.nd.edu/~ndlaw/
NOVA SOUTHEASTERN,http://www.nsulaw.nova.edu/
OHIO NORTHERN,http://www.law.onu.edu/
OHIO STATE,http://moritzlaw.osu.edu/
OKLAHOMA,http://www.law.ou.edu/
OKLAHOMA CITY,http://www.okcu.edu/law
OREGON,http://www.law.uoregon.edu/
PACE,http://www.law.pace.edu/
PENNSYLVANIA,http://www.law.upenn.edu/
PENNSYLVANIA STATE-DICKINSON LAW,https://dickinsonlaw.psu.edu/
PENNSYLVANIA STATE-PENN STATE LAW,http://pennstatelaw.psu.edu/
PEPPERDINE,http://law.pepperdine.edu/
PITTSBURGH,http://www.law.pitt.edu/
PONTIFICAL CATHOLIC OF PUERTO RICO,http://www.pucpr.edu/
PUERTO RICO,http://www.law.upr.edu
QUINNIPIAC,http://law.quinnipiac.edu
REGENT,http://www.regent.edu/acad/schlaw
RICHMOND,http://law.richmond.edu/
ROGER WILLIAMS,http://law.rwu.edu/
RUTGERS,http://law.rutgers.edu/
ST. JOHN'S,http://www.stjohns.edu/law
SAINT LOUIS,http://law.slu.edu/
ST. MARY'S,http://www.stmarytx.edu/law
ST. THOMAS (FLORIDA),http://www.stu.edu/
ST. THOMAS (MINNESOTA),http://www.stthomas.edu/law/
SAMFORD,http://cumberland.samford.edu/
SAN DIEGO,http://www.sandiego.edu/law/
SAN FRANCISCO,http://www.usfca.edu/law
SANTA CLARA,http://www.scu.edu/law
SEATTLE,http://www.law.seattleu.edu/
SETON HALL,http://law.shu.edu/
SOUTH CAROLINA,http://www.law.sc.edu/
SOUTH DAKOTA,http://www.usd.edu/law
SOUTH TEXAS-HOUSTON,http://www.stcl.edu/
SOUTHERN UNIVERSITY,http://www.sulc.edu/
SOUTHERN CALIFORNIA,http://www.usc.edu/dept/law-lib/index.html
SOUTHERN ILLINOIS,http://www.law.siu.edu/
SOUTHERN METHODIST,http://www.law.smu.edu/
SOUTHWESTERN,http://www.swlaw.edu/
STANFORD,http://www.law.stanford.edu/
STATE UNIVERSITY OF NEW YORK-BUFFALO,http://www.buffalo.edu/law/
STETSON,http://www.law.stetson.edu/
SUFFOLK,http://www.law.suffolk.edu/
SYRACUSE,http://www.law.syr.edu/
TEMPLE,http://www.law.temple.edu/
TENNESSEE,http://www.law.utk.edu/
TEXAS,http://www.utexas.edu/law/
TEXAS A&M,http://law.tamu.edu/
TEXAS SOUTHERN,http://www.tsulaw.edu/
TEXAS TECH,http://www.law.ttu.edu/
THOMAS JEFFERSON,http://www.tjsl.edu/
THOMAS M. COOLEY,http://www.cooley.edu/
TOLEDO,http://law.utoledo.edu/
TOURO,http://www.tourolaw.edu/
TULANE,http://www.law.tulane.edu/
TULSA,http://www.utulsa.edu/law/
UNT DALLAS,https://lawschool.untsystem.edu/
UTAH,http://www.law.utah.edu/
VALPARAISO,http://www.valpo.edu/law
VANDERBILT,http://www.vanderbilt.edu/Law/
VERMONT,http://www.vermontlaw.edu/
VILLANOVA,http://www.law.villanova.edu/
VIRGINIA,http://www.law.virginia.edu/
WAKE FOREST,http://www.law.wfu.edu/
WASHBURN,http://washburnlaw.edu/
WASHINGTON AND LEE,http://www.law.wlu.edu/
WASHINGTON,http://www.law.washington.edu/
WASHINGTON UNIVERSITY,http://law.wustl.edu/
WAYNE STATE,http://www.law.wayne.edu/
WESTERN NEW ENGLAND,http://www1.law.wne.edu
WESTERN STATE,http://www.wsulaw.edu/
WEST VIRGINIA,http://www.wvu.edu/~law/
WHITTIER,http://www.law.whittier.edu/
WIDENER-DELAWARE,http://delawarelaw.widener.edu/
WIDENER-COMMONWEALTH,http://commonwealthlaw.widener.edu/
WILLAMETTE,http://www.willamette.edu/wucl
WILLIAM AND MARY,http://law.wm.edu
WISCONSIN,http://www.law.wisc.edu/
WYOMING,http://uwadmnweb.uwyo.edu/Law/
YALE,http://www.law.yale.edu/
